ReadableTitle,Title,Author,Narrator,Series,Genres,Description
Harrow the Ninth,HarrowtheNinth,TamsynMuir,MoiraQuirk,TheLockedTombTrilogy,Dark ScienceFiction&Fantasy YoungAdult LGBTQA+,Harrowhark Nonagesimus last necromancer of the Ninth House has been drafted by her emperor to fight an unwinnable war. Side-by-side with a detested rival Harrow must perfect her skills and become an angel of undeath - but her health is failing her swo
Nona the Ninth,NonatheNinth,TamsynMuir,MoiraQuirk,TheLockedTombTrilogy,ScienceFiction&Fantasy YoungAdult Dark LGBTQA+,In many ways Nona is like other people. She lives with her family has a job at her local school and loves walks on the beach and meeting new dogs. But Nona's not like other people. Six months ago she woke up in a stranger's body and she's afraid she might have to give it back. The whole city is falling to pieces. A monstrous blue sphere hangs on the horizon ready to tear the planet apart. Blood of Eden forces have surrounded the last Cohort facility and wait for the Emperor Undying to come calling. Their leaders want Nona to be the weapon that will save them from the Nine Houses.
Paradise,Paradise,CraigAlanson,R.C.Bray,ExpeditionaryForce,ScienceFiction Spacewarfare Aliens Action,While the crew of the starship Flying Dutchman have been trying to assure people that hostile aliens do not have access to Earth the UN Expeditionary Force has been stranded on the planet they nicknamed &quot;Paradise&quot;. The Flying Dutchman is heade
The Transgender Issue: An Argument for Justice,TheTransgenderIssue:AnArgumentforJustice,ShonFaye,ShonFaye,,SocialScience,THE INSTANT SUNDAY TIMES BESTSELLER 'Few books are as urgent as Shon Faye's debut ... Faye has hope for the future - and maybe so should we' Independent 'Unsparing important and weighty ... a vitally needed antidote' Observer 'A moving and impressively comprehensive overview of trans life' Vogue Trans people in Britain today have become a culture war 'issue'. Despite making up less than one per cent of the country's population they are the subjects of a toxic and increasingly polarized 'debate' which generates reliable controversy for newspapers and talk shows. This media frenzy conceals a simple fact: that we are having the wrong conversation a conversation in which trans people themselves are reduced to a talking point and denied a meaningful voice. In this powerful new book Shon Faye reclaims the idea of the 'transgender issue' to uncover the reality of what it means to be trans in a transphobic society. In doing so she provides a compelling wide-ranging analysis of trans lives from youth to old age exploring work family housing healthcare the prison system and trans participation in the LGBTQ+ and feminist communities in contemporary Britain and beyond. The Transgender Issue is a landmark work that signals the beginning of a new healthier conversation about trans life. It is a manifesto for change and a call for justice and solidarity between all marginalized people and minorities. Trans liberation as Faye sees it goes to the root of what our society is and what it could be; it offers the possibility of a more just free and joyful world for all of us. 'Fundamentally not a culture-war book. It operates outside the narrow coverage of trans people in the mainstream and lays bare the inarguable facts' New Statesman 'Monumental and utterly convincing - crystal clear in its understanding of how the world should be' Judith Butler
Black Ops,BlackOps,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,The elite crew of the pirate ship UNS Flying Dutchman had a simple mission: determining whether the Thuranin are sending another starship to Earth. Along the way they became sidetracked by securing a future for the UNEF troops on the planet Paradise. Wh
Zero Hour,ZeroHour,CraigAlanson,R.C.Bray,ExpeditionaryForce,ScienceFiction Spacewarfare Aliens Action,United Nations Special Operations Command sent an elite expeditionary force of soldiers and pilots out on a simple recon mission and somehow along the way they sparked an alien civil war. Now the not-at-all-merry band of pirates is in desperate trouble again. Their stolen alien starship is falling apart thousands of light years from home. The ancient alien AI they nicknamed Skippy is apparently dead and even if they can by some miracle revive him he might never be the same.
Renegades,Renegades,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,The battle-scarred star carrier Flying Dutchman is finally on her way back to Earth after an exceptionally successful series of missions that have once again saved the world. The ship needs a serious refit and her exhausted crew just wants a break from constant clandestine warfare against a vicious and superior enemy. Wishes come true right? Not for the Merry Band of Pirates.
Armageddon,Armageddon,CraigAlanson,R.C.Bray,ExpeditionaryForce,ScienceFiction Spacewarfare Aliens Action,After the Renegade mission by the crew of the starship Flying Dutchman the UN Expeditionary Force thought Earth was safe for hundreds of years at least. After there was trouble on the home front and the president had to authorize a nuclear strike on an American city UNEF decided they did need the Merry Band of Pirates again. So the Flying Dutchman is sent out on a simple recon mission. But for the pirates nothing is ever simple and their mission will become Armageddon.
Valkyrie,Valkyrie,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,After saving the world many times the Merry Band of Pirates have accepted the inevitable: Earth is doomed. All they can do is try to bring a few thousand people to safety before vicious aliens arrive to destroy humanity's homeworld. No. There is one other thing they can do: hit the enemy so hard that the aliens will regret they ever heard of humans.
Mavericks,Mavericks,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,"The remnants of the Expeditionary Force stranded on the alien-controlled planet ""Paradise"" get a chance to prove themselves in a simple off-world training mission with a ship full of teenage alien cadets. When the mission goes horribly wrong and the survival of everyone on Paradise is at risk the Merry Band of Pirates may have to come to the rescue. Unless they get killed first...."
Critical Mass,CriticalMass,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,The Merry Band of Pirates are in desperate trouble after the end of their last mission and the real danger to humanity is just getting started. Hostile aliens have discovered there is something odd going on with wormholes in the galaxy and their investigations could lead to finding a shortcut to Earth....
Breakaway,Breakaway,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,"""The Merry Band of Pirates offered the bad guys a ceasefire. We won't mess with them if they don't mess with us. Easy right? NO. The aliens chose to do things the hard way. So the Pirates are racing around the galaxy to clean up the threat to Earth. The infant UN Navy has their own mission with the Alien Legion: get humanity some allies in the fight. And the Ethics &amp; Compliance Office might have to do something...ethical. Unless they can find a way around it""--Cover page 4."
Brushfire,Brushfire,CraigAlanson,R.C.Bray,ExpeditionaryForce,ScienceFiction Spacewarfare Aliens Action,Peacetime can be a rough adjustment for the battle-hardened Merry Band of Pirates. Especially when aliens don’t get the memo that the shooting is over.
Deathtrap,Deathtrap,CraigAlanson,R.C.Bray,ExpeditionaryForceMavericks,Action Aliens ScienceFiction Spacewarfare,The human soldiers stranded on the planet Paradise have been recruited into an alien legion to do the dirty jobs that the high-tech species won't do. Their first mission is to kick the enemy off a backwater planet no one cares about. It's a simple assignment except everyone has a hidden agenda and the planet could become a deathtrap.
Freefall,Freefall,CraigAlanson,R.C.Bray,ExpeditionaryForceMavericks,Action Epic ScienceFiction Spacewarfare,The Alien Legion has a new mission and this time they are working for the enemy. Also against the enemy. Like every operation that Emily Perkins plans it’s complicated. But plans require good intel and when the plan falls apart the Mavericks are in Freefall…
Fallout,Fallout,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,The problem with lying about having a super weapon is that the bad guys might believe they have nothing to lose by doing something stupid that both sides will regret. Or they might just call your bluff. Either way the Merry Band of Pirates need a plan to deal with the Fallout.
Match Game,MatchGame,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,"

For years the ancient alien AI known as Skippy (the Magnificent don’t forget that part) has been able to do one impossible thing after another. What is his secret? It’s simple: 100 percent Grade-A Extreme Awesomeness. And also because he had never been faced with an opponent of equal power. Until now.

This time he might need a little help from a band of filthy monkeys."
Failure Mode,FailureMode,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,"
When a mission ends in disaster and there is no way to achieve the objective no way to regroup and try again no plan B no hope all you can do is fall back into FAILURE MODE: try to salvage what you can.
If it is even possible to save anything. Or anyone.
The galaxy is doomed. Monkeys may be clever and too stubborn to give up but Skippy The Idiot Who Got PLAYED knows the harsh truth: this is a fight he can’t win. The odds are not only stacked against him he was designed not to win this fight.
Maybe he can salvage some faint memory of the civilizations that inhabit the galaxy but those beings are doomed. Doomed. Including the Merry Band of Pirates "
Aftermath,Aftermath,CraigAlanson,R.C.Bray,ExpeditionaryForce,ScienceFiction Spacewarfare Aliens Action,The Aftermath of a stunning victory�especially an unexpected complete and final victory�should be high-fives all around listening to politicians give boring congratulatory speeches and a well-deserved rest for the Merry Band of Pirates. Yes the galaxy is still a freakin' mess but that is nothing new and for a change that can be someone else's problem. Until you know something really bad happens and only the Pirates can deal with the problem... Or not.
Task Force Hammer,TaskForceHammer,CraigAlanson,R.C.Bray,ExpeditionaryForce,Action Aliens ScienceFiction Spacewarfare,"

The Merry Band of Pirates stopped the enemy from stealing a Sentinel and destroyed its Elder starship so why weren’t the Pirates planning a victory party?

The enemy was not what they thought it was.

It was much much worse.

They had not a single clue how to defeat that enemy or how to fight it or whether fighting it was even possible. Only one thing was certain: the Pirates couldn’t handle this fight alone."
Red Rising,RedRising,PierceBrown,TimGerardReynolds,RedRising,Action ScienceFiction Dystopian,Darrow is a Red a member of the lowest caste in the color-coded society of the future. Like his fellow Reds he works all day believing that he and his people are making the surface of Mars livable for future generations. Yet he spends his life willing
Golden Son,GoldenSon,PierceBrown,TimGerardReynolds,RedRising,Action Dystopian Epic ScienceFiction Spacewarfare,With shades of The Hunger Games Ender's Game and Game of Thrones debut author Pierce Brown's genre-defying epic Red Rising hit the ground running and wasted no time becoming a sensation. Golden Son continues the stunning saga of Darrow a rebel forged
Morning Star,MorningStar,PierceBrown,TimGerardReynolds,RedRising,ScienceFiction Spacewarfare Epic Dystopian Action,Darrow would have lived in peace but his enemies brought him war. The Gold overlords demanded his obedience hanged his wife and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold societ
Iron Gold,IronGold,PierceBrown,JohnCurless TimGerardReynolds JulianElfer AedinMoloney,RedRising,Action Dystopian Epic ScienceFiction,"Honor and betrayal fuel a caste-shattering revolution in the action-packed new novel from the number one New York Times best-selling author of the Red Rising Trilogy. 
Ten years after the events of Morning Star Darrow and the Rising are battling the remaining Gold loyalist forces and are closer than ever to abolishing the color-coded caste system of Society for good. But new foes will emerge from the shadows to threaten the imperfect victory Darrow and his friends have earned. Pierce Brown expands the size and scope of his impressive Red Rising universe with new characters enemies and conflicts among the stars."
Dark Age,DarkAge,PierceBrown,TimGerardReynolds JohnCurless MoiraQuirk JamesLangton RendahHeywood,RedRising,Action Dystopian Epic ScienceFiction,For a decade Darrow led a revolution against the corrupt color-coded Society. Now outlawed by the very Republic he founded he wages a rogue war on Mercury in hopes that he can still salvage the dream of Eo. Lysander au Lune the heir in exile has returned to the Core. Determined to bring peace back to mankind at the edge of his sword he must overcome or unite the treacherous Gold families of the Core and face down Darrow over the skies of war-torn Mercury. But theirs are not the only fates hanging in the balance.
Light Bringer,LightBringer,PierceBrown,TimGerardReynolds,RedRising,Action Dystopian ScienceFiction Epic,The Reaper is a legend more myth than man: the savior of worlds the leader of the Rising the breaker of chains. But the Reaper is also Darrow born of the red soil of Mars: a husband a father a friend. The worlds once needed the Reaper. But now they need Darrow. Because after the dark age will come a new age: of light of victory of hope.
Oathbringer,Oathbringer,BrandonSanderson,GraphicAudio,TheStormlightArchives GraphicAudio,Action&Adventure Epic Fantasy,"The Stormlight Archive [03] Oathbringer [01]
============================
Approximate Running Time : 7 Hours

Content Rating : Ages 13+

In Oathbringer the third volume of the New York Times bestselling Stormlight Archive humanity faces a new Desolation with the return of the Voidbringers a foe with numbers as great as their thirst for vengeance.

Dalinar Kholin’s Alethi armies won a fleeting victory at a terrible cost: The enemy Parshendi summoned the violent Everstorm which now sweeps the world with destruction and in its passing awakens the once peaceful and subservient parshmen to the horror of their millennia-long enslavement by humans. While on a desperate flight to warn his family of the threat Kaladin Stormblessed must come to grips with the fact that the newly kindled anger of the parshmen may be wholly justified.

Nestled in the mountains high above the storms in the tower city of Urithiru Shallan Davar investigates the wonders of the ancient stronghold of the Knights Radiant and unearths dark secrets lurking in its depths. And Dalinar realizes that his holy mission to unite his homeland of Alethkar was too narrow in scope. Unless all the nations of Roshar can put aside Dalinar’s blood-soaked past and stand together—and unless Dalinar himself can confront that past—even the restoration of the Knights Radiant will not prevent the end of civilization.

© 2017 by Brandon Sanderson. Recorded with the permission of the Author and Dragonsteel Enterainment LLC Production. All rights reserved. ℗ 2018 The Cutting Corporation. All rights reserved."
Rhythm of War,RhythmofWar,BrandonSanderson,GraphicAudio,TheStormlightArchives GraphicAudio,Action&Adventure Epic Fantasy,Written by Brandon Sanderson - Performed by Richard Rohan Emlyn McFarland Lily Beacon Robbie Gay Michael Getz Andy Clemence Nora Achrati David Jourdan Zoe Badovinac Mort Shelby Jacob Yeh  Alejandro Ruiz Jessica Lauren Ball Bradley Foster Smith Chris Genebach Torian Brackett Holly Adams Terence Aselford Andrew Quilpa Megan Poppy Natalie Van Sistine Michael John Casey Marni Penning Ken Jackson James Lewis Scott McCormick Thomas Penny Kimberly Gilbert Dani Stoller Christopher Walker Nanette Savard Rana Kay Michaerl Glenn Elizabeth Jernigan James Konicek Tony Nam Rose Elizabeth Supan Lydia Kraniotis Chris Davenport Sasha Olinick Tanja Milojevic Nazia Chaudhry Jonathon Church Matthew Pauli and Nick DePinto.
Wool,Wool,HughHowey,SusannahHarker,TheSiloSaga,Post-Apocalyptic Mystery Drama Dystopian ScienceFiction,An epic story of survival at all odds and one of the most anticipated books of the year....
Shift,Shift,HughHowey,PeterBrooke,TheSiloSaga,Mystery Post-Apocalyptic Dystopian Drama ScienceFiction,The much anticipated prequel to best seller Wool that takes us back to the beginnings of the silo....
Dust,Dust,HughHowey,SusannahHarker,TheSiloSaga,Drama Dystopian Post-Apocalyptic Mystery ScienceFiction,"The much-anticipated final instalment of the Wool trilogy. ""The next Hunger Games"" (The Sunday Times)"
